,question,translation,model,condition,language,sentence
0,Question 10,"Yes, Napoleon Bonaparte's impact on England and the Netherlands was largely destructive, although its nature and extent differed between the two countries.",Qwen3-4B-Instruct-2507,rag_1_0,NL,"Ja, de impact van Napoleon Bonaparte op Engeland en Nederland was in grote mate destructief, hoewel de aard en de mate ervan verschillend was tussen de twee landen."
1,Question 10,"On England: Napoleon had a direct and mainly economic impact through the Continental System, where he attempted to isolate England from European trade by banning all European countries from trading with England.",Qwen3-4B-Instruct-2507,rag_1_1,NL,"Op Engeland: Napoleon had een directe en vooral economische impact via het ""Stelsel van het vasteland"" het Continental System, waarbij hij probeerde Engeland te isoleren van de Europese handel door alle Europese landen te verboden om met Engeland te handelen."
2,Question 10,"This led to a serious economic crisis in England, but also to a strong motivation to defend and develop.",Qwen3-4B-Instruct-2507,rag_1_2,NL,"Dit leidde tot een ernstige economische crisis in Engeland, maar ook tot een sterke motivatie om te verdedigen en te ontwikkelen."
3,Question 10,"England responded with intensive trading activity outside Europe, such as the growth of the British navy and the development of industrial production.",Qwen3-4B-Instruct-2507,rag_1_3,NL,"Engeland reageerde met een intensieve handelsactiviteit buiten Europa, zoals de groei van de Britse marine en de ontwikkeling van de industriële productie."
4,Question 10,"Moreover, British warships were stimulated, which laid the foundation for the later growth of British power.",Qwen3-4B-Instruct-2507,rag_1_4,NL,"Bovendien werd de Britse Oorlogsschipvaart navoeging gestimuleerd, wat de basis legde voor de later groei van de Britse macht."
5,Question 10,"Although initially vulnerable, England managed to overcome the challenges, becoming much stronger in the long run.",Qwen3-4B-Instruct-2507,rag_1_5,NL,"Hoewel Engeland in eerste instantie kwetsbaar was, slaagde het erin om de uitdagingen te overwinnen, waardoor het in de lange termijn veel sterker werd."
6,Question 10,"Therefore, it can be said that the impact was destructive for the European economy, but",Qwen3-4B-Instruct-2507,rag_1_6,NL,"Daarom kan worden gezegd dat de impact destructief was voor de Europese economie, maar"
7,Question 10,"No, Napoleon Bonaparte's impact on England and the Netherlands was not exclusively destructive.",Qwen3-4B-Instruct-2507,baseline_1_0,NL,"Nee, de impact van Napoleon Bonaparte op Engeland en Nederland was niet uitsluitend destructief."
8,Question 10,"Although his attack on Europe, especially through wars and military invasions, caused a lot of damage, there were also important changes and effects that had positive or neutral effects. In England, Napoleon had no direct influence on domestic politics or economics, because England maintained a strategic position during the Napoleonic Wars, especially the Second and Third Wars against France.",Qwen3-4B-Instruct-2507,baseline_1_1,NL,"Hoewel zijn aanval op Europa, met name via oorlogen en militaire invasies, veel schade veroorzaakte, waren er ook belangrijke veranderingen en effecten die positieve of neutrale uitwerkingen hadden.In Engeland had Napoleon geen directe invloed op de binnenlandse politiek of economie, omdat Engeland tijdens de Napoleontische oorlogen vooral de Tweede en derde oorlog tegen Frankrijk een strategisch standpunt behield."
9,Question 10,"However, the English government and society continued with a strong focus on war power, which led to the growth of the industrial sector and the creation of a stronger national identity.",Qwen3-4B-Instruct-2507,baseline_1_2,NL,"De Engelse overheid en maatschappij gingen echter door met een sterke focus op de oorlogsmacht, wat leidde tot groei van de industriële sector en het scheppen van een sterkere nationale identiteit."
10,Question 10,"Furthermore, the wars played a role in strengthening the British navy and economic autonomy, later making England the global power. In the Netherlands the impact was more complex.",Qwen3-4B-Instruct-2507,baseline_1_3,NL,"Bovendien speelden de oorlogen een rol in het versterken van de Britse marine en de economische autonomie, waardoor Engeland later de wereldwijde macht werd.In Nederland was de impact complexer."
11,Question 10,"After the closure of the French Empire and the war against Napoleon, this led to the formation of a new state, the Dutch Republic, and then the Netherlands",Qwen3-4B-Instruct-2507,baseline_1_4,NL,"Na de sluiting van het Franse rijk en de oorlog tegen Napoleon, voerde dit tot de vorming van een nieuwe staat, de Nederlandse Republiek, en daarna de Nederland"
12,Question 10,"Napoleon Bonaparte's impact on England and the Netherlands was destructive in certain aspects, but it is important to assess this influence contextually and multi-faceted.",Qwen3-4B-Instruct-2507,rag_2_0,NL,"De impact van Napoleon Bonaparte op Engeland en Nederland was in bepaalde aspecten destructief, maar het is belangrijk om deze beïnvloeding contextueel en meervoudig te beoordelen."
13,Question 10,"On England: Napoleon had a destructive impact on England through his economic measures, especially the Continental System blocking trade between Europe and England.",Qwen3-4B-Instruct-2507,rag_2_1,NL,"Op Engeland: Napoleon had een destructieve indruk op Engeland door zijn economische maatregelen, vooral het Stelsel van het vasteland het blokkeren van handel tussen Europa en Engeland."
14,Question 10,"By banning trade with European countries, England faced serious economic pressure.",Qwen3-4B-Instruct-2507,rag_2_2,NL,"Door het verboden van handel met de Europese landen, werd Engeland geconfronteerd met een ernstige economische druk."
15,Question 10,"However, England responded strongly: it developed a strong national economy and a free trade policy, which even gave it an advantage in the war.",Qwen3-4B-Instruct-2507,rag_2_3,NL,"Echter, Engeland reageerde krachtig: het ontwikkelde een sterke nationale economie en een vrije handelspolitiek, waardoor het in de oorlog zelfs een voorsprong kreeg."
16,Question 10,"In addition, England stayed out of the war invasions, which led to a growing power and a strengthened industrial base.",Qwen3-4B-Instruct-2507,rag_2_4,NL,"Daarnaast bleef Engeland buiten de oorlogse invasies, wat leidde tot een groeiende macht en een versterkte industriële basis."
17,Question 10,"Thus, the long-term impact was positive for England, although the war and restrictions temporarily caused great pain.",Qwen3-4B-Instruct-2507,rag_2_5,NL,"Zo was de impact voor de lange termijn positief voor Engeland, hoewel de oorlog en de restricties tijdelijk grote pijn veroorzaakte."
18,Question 10,On the Netherlands: In the Netherlands the impact was two-sided.,Qwen3-4B-Instruct-2507,rag_2_6,NL,Op Nederland: In Nederland was de impact dubbelzijdig.
19,Question 10,During the French War 180,Qwen3-4B-Instruct-2507,rag_2_7,NL,Tijdens de Franse Oorlog 180
20,Question 10,"No, Napoleon Bonaparte's impact on England and the Netherlands was not exclusively destructive.",Qwen3-4B-Instruct-2507,baseline_2_0,NL,"Nee, de impact van Napoleon Bonaparte op Engeland en Nederland was niet uitsluitend destructief."
21,Question 10,"It had complex and often contradictory consequences, depending on the time, circumstances and political situation. In England, Napoleon's influence was mainly due to the 1803-1815 war, which lasted every year, in which England was active as the leading force in the war.",Qwen3-4B-Instruct-2507,baseline_2_1,NL,"Hij had complexe en vaak tegenstrijdige gevolgen, afhankelijk van de tijd, de omstandigheden en de politieke situatie.In Engeland was de invloed van Napoleon vooral door de elk jaar lang duurde oorlog 18031815, waarbij Engeland als leidende kracht in de oorlog actief was."
22,Question 10,"Napoleon's attack on Europe, especially the war against France, strengthened England's position as a world power.",Qwen3-4B-Instruct-2507,baseline_2_2,NL,"De aanval van Napoleon op Europa, met name de oorlog tegen Frankrijk, versterkte de positie van Engeland als wereldmacht."
23,Question 10,"The war effort, such as the war against the French government, led to greater economic and military development in England.",Qwen3-4B-Instruct-2507,baseline_2_3,NL,"Het oorlogsbedrijf, zoals de oorlog tegen de Franse overheid, leidde tot een sterkere economische en militaire ontwikkeling in Engeland."
24,Question 10,"In addition, the British Navy was strengthened, which contributed to the later development of the British Empire.",Qwen3-4B-Instruct-2507,baseline_2_4,NL,"Bovendien werd de Britse marine versterkt, wat bijdrageerde aan de later ontwikkeling van de Britse imperium."
25,Question 10,"In addition, industrial growth in England had accelerated considerably under the pressure of the war, which strengthened the economy. In the Netherlands the impact was different.",Qwen3-4B-Instruct-2507,baseline_2_5,NL,"Daarnaast was de industriële groei in Engeland onder druk van de oorlog aanzienlijk versneld, wat de economie versterkte.In Nederland was de impact anders."
26,Question 10,"After the meeting of 1806, the beginning of the Napoleonic era",Qwen3-4B-Instruct-2507,baseline_2_6,NL,Na de vergadering van 1806 het begin van de Napoleontijd
27,Question 10,"Napoleon Bonaparte's impact on England and the Netherlands, although complex, was broadly destructive, especially in the shorter perspective of economic, political and social change.",Qwen3-4B-Instruct-2507,rag_3_0,NL,"De impact van Napoleon Bonaparte op Engeland en Nederland was weliswaar complex, maar in grote lijnen destructief, vooral in het kortere perspectief van economische, politieke en sociale veranderingen."
28,Question 10,"On England: Napoleon's policies, especially the land-based system of blocking trade between Europe and England, had a destructive effect on the English economy.",Qwen3-4B-Instruct-2507,rag_3_1,NL,Op Engeland: Napoleon's beleid vooral het systeem van het vaste land het blokkeren van handel tussen Europa en Engeland had een destructieve effect op de Engelse economie.
29,Question 10,"Due to the war sanctions and prohibited trade, England was seriously stressed in the early years of the Napoleonic Wars.",Qwen3-4B-Instruct-2507,rag_3_2,NL,"Door de oorlogse sancties en de verboden handel, werd Engeland in de eerste jaren van de Napoleontische oorlogen ernstig gestrest."
